tenure_months,monthly_charges,contract_type,payment_method,is_fiber,promo_active,support_tickets_90d,app_logins_30d,churn
20,62.99,two-year,transfer,0,1,2,13,0
45,62.71,month-to-month,paypal,1,1,0,12,0
12,67.14,two-year,debit,0,1,0,16,0
54,81.96,month-to-month,credit-card,1,1,2,14,0
50,92.55,month-to-month,debit,0,1,0,26,0
26,64.95,month-to-month,transfer,1,1,1,15,0
5,81.31,month-to-month,credit-card,0,1,1,13,0
69,50.96,two-year,debit,0,1,2,21,0
32,80.32,two-year,credit-card,1,1,2,9,0
64,49.76,two-year,debit,0,1,2,17,0
49,86.81,two-year,credit-card,1,0,1,21,0
56,109.21,one-year,credit-card,1,1,2,21,0
54,62.56,month-to-month,credit-card,1,1,3,16,0
14,21.15,two-year,transfer,1,1,0,17,0
26,54.04,month-to-month,debit,1,0,1,18,0
34,89.64,one-year,paypal,1,1,3,20,0
36,76.06,month-to-month,debit,0,0,4,19,0
4,69.98,one-year,credit-card,1,1,1,20,0
39,85.17,month-to-month,credit-card,0,1,0,11,0
11,74.69,month-to-month,paypal,0,1,0,25,0
53,89.35,month-to-month,transfer,0,1,1,16,0
49,83.39,month-to-month,debit,0,1,0,21,0
66,95.43,month-to-month,transfer,0,1,0,16,0
53,72.18,month-to-month,transfer,0,1,2,13,0
27,83.11,month-to-month,credit-card,1,1,4,24,1
69,58.86,month-to-month,transfer,1,1,1,22,0
30,52.97,month-to-month,credit-card,1,1,2,15,1
24,99.14,one-year,credit-card,0,0,5,16,1
65,69.32,month-to-month,transfer,0,1,1,15,0
27,81.1,month-to-month,debit,1,1,0,24,0
6,67.47,month-to-month,credit-card,0,0,1,19,0
34,53.27,month-to-month,credit-card,0,0,2,21,0
57,65.22,month-to-month,transfer,1,1,3,18,0
14,93.72,one-year,transfer,1,1,2,14,0
33,76.1,month-to-month,credit-card,0,1,0,22,0
10,30.77,month-to-month,debit,1,1,0,18,0
49,60.7,month-to-month,debit,1,1,0,20,0
34,100.65,month-to-month,paypal,1,1,2,17,0
24,60.72,month-to-month,paypal,0,0,1,16,0
17,28.99,one-year,debit,1,1,0,16,0
41,102.86,month-to-month,transfer,1,1,4,17,1
48,78.65,one-year,paypal,0,1,2,19,0
67,63.6,month-to-month,debit,1,0,0,12,0
32,57.57,month-to-month,credit-card,1,1,1,19,0
12,86.65,month-to-month,debit,0,1,0,27,0
60,54.16,month-to-month,transfer,1,1,0,24,0
45,87.97,month-to-month,paypal,0,1,1,9,0
50,75.84,one-year,debit,1,1,3,18,0
7,69.89,one-year,credit-card,0,1,2,20,0
23,67.91,month-to-month,credit-card,1,1,1,13,0
55,61.5,month-to-month,debit,0,0,4,20,0
60,85.91,two-year,credit-card,1,1,2,17,0
31,47.69,month-to-month,credit-card,1,1,2,18,0
58,32.56,month-to-month,transfer,1,1,1,9,0
60,77.29,two-year,paypal,1,1,0,12,0
28,77.62,month-to-month,credit-card,0,1,0,21,0
64,74.6,month-to-month,transfer,0,1,1,18,0
21,73.15,month-to-month,transfer,1,1,0,20,0
18,58.59,one-year,transfer,0,0,3,26,0
49,80.75,month-to-month,paypal,1,1,0,15,0
46,64.09,one-year,paypal,1,0,1,19,0
10,55.26,month-to-month,debit,1,1,2,28,1
60,58.76,month-to-month,paypal,0,1,1,25,0
15,105.41,month-to-month,credit-card,1,1,0,28,0
58,30.3,one-year,paypal,0,0,2,15,0
1,75.0,month-to-month,credit-card,1,1,1,12,0
57,31.42,one-year,credit-card,1,1,3,25,0
56,62.84,month-to-month,credit-card,1,1,2,12,0
56,56.33,month-to-month,credit-card,1,1,0,14,0
48,23.3,month-to-month,debit,0,1,0,15,0
34,72.78,month-to-month,transfer,1,1,0,21,0
51,57.4,month-to-month,transfer,1,0,1,18,0
20,23.02,one-year,credit-card,0,0,2,21,0
56,81.79,two-year,debit,1,1,2,23,0
40,93.7,one-year,credit-card,1,1,0,21,0
33,94.8,month-to-month,credit-card,1,0,2,16,1
36,72.18,month-to-month,transfer,1,0,4,20,0
41,65.92,one-year,transfer,0,1,0,22,0
3,91.56,month-to-month,credit-card,1,0,1,14,0
10,98.65,one-year,debit,0,1,1,19,0
18,87.67,two-year,paypal,1,1,1,14,0
9,46.17,month-to-month,transfer,0,1,1,19,0
32,69.03,two-year,credit-card,1,1,2,26,1
48,73.79,one-year,paypal,0,0,1,13,0
47,28.81,month-to-month,credit-card,0,0,4,10,1
34,74.39,two-year,debit,0,0,5,17,1
61,110.46,month-to-month,transfer,1,1,1,20,0
41,77.8,month-to-month,transfer,0,1,1,14,0
6,94.47,month-to-month,credit-card,0,0,2,20,0
55,68.66,month-to-month,paypal,0,1,0,11,0
41,63.54,month-to-month,credit-card,0,1,0,23,0
46,72.63,two-year,transfer,1,0,1,18,0
41,48.68,month-to-month,debit,1,0,0,18,0
40,45.72,month-to-month,paypal,0,1,1,17,0
7,90.33,one-year,paypal,0,1,0,15,0
40,92.45,month-to-month,paypal,0,1,0,23,0
57,45.18,one-year,paypal,0,0,3,15,1
22,84.36,month-to-month,transfer,0,1,1,15,0
43,63.26,two-year,credit-card,0,0,1,20,0
3,71.8,one-year,transfer,0,1,0,19,0
25,74.2,month-to-month,debit,0,1,1,18,0
32,84.89,month-to-month,transfer,1,1,2,19,0
70,66.65,month-to-month,credit-card,0,0,1,14,0
16,93.2,two-year,transfer,1,0,1,19,0
20,71.19,one-year,debit,1,1,0,13,0
30,77.48,month-to-month,transfer,1,0,1,13,0
71,48.33,month-to-month,debit,0,1,0,15,0
61,108.17,two-year,debit,1,0,2,16,0
3,74.4,month-to-month,credit-card,1,0,2,18,0
17,79.26,one-year,paypal,1,1,1,15,1
59,32.84,one-year,credit-card,1,0,1,17,0
5,48.55,month-to-month,credit-card,0,1,0,19,0
61,89.76,month-to-month,debit,1,1,2,28,0
20,70.74,month-to-month,credit-card,1,0,3,20,1
66,26.72,month-to-month,paypal,0,1,0,12,0
21,85.77,two-year,debit,0,1,1,20,0
31,54.12,one-year,credit-card,1,1,1,23,0
47,93.23,one-year,debit,0,1,0,16,0
9,63.24,month-to-month,credit-card,1,1,1,14,0
40,69.09,month-to-month,transfer,0,1,0,17,0
36,88.58,one-year,debit,1,1,0,17,0
56,47.05,month-to-month,credit-card,0,1,0,20,0
71,45.14,month-to-month,paypal,1,1,0,16,0
48,61.07,month-to-month,transfer,1,0,0,10,0
30,81.54,one-year,debit,1,0,1,16,1
29,38.38,one-year,transfer,0,0,1,11,1
30,31.64,month-to-month,transfer,0,0,3,15,0
58,81.47,two-year,credit-card,0,1,0,16,0
23,52.94,month-to-month,paypal,0,1,0,14,0
12,57.16,month-to-month,debit,1,0,0,16,0
24,27.86,month-to-month,credit-card,0,1,5,14,0
2,51.42,one-year,transfer,0,1,2,19,0
8,64.85,month-to-month,paypal,1,1,3,14,0
7,83.61,month-to-month,transfer,0,1,2,18,0
55,49.58,month-to-month,debit,0,1,1,21,0
52,98.15,one-year,debit,1,1,1,28,0
50,51.31,one-year,transfer,0,0,1,28,0
33,51.34,month-to-month,credit-card,1,0,0,18,0
51,95.75,two-year,paypal,1,1,0,10,1
12,69.23,month-to-month,debit,0,0,2,12,0
64,53.96,month-to-month,credit-card,1,0,0,18,0
36,61.9,month-to-month,credit-card,1,0,0,22,0
67,92.06,one-year,transfer,0,1,2,15,0
11,94.32,month-to-month,credit-card,1,1,0,19,1
36,48.66,month-to-month,paypal,0,1,0,29,0
50,64.15,month-to-month,paypal,1,1,0,7,0
36,66.8,month-to-month,credit-card,1,1,0,19,0
32,45.28,one-year,credit-card,0,1,1,13,0
12,63.89,two-year,paypal,1,1,1,25,0
28,65.11,month-to-month,credit-card,0,0,1,26,0
17,87.8,one-year,debit,1,0,1,22,0
22,89.15,month-to-month,paypal,1,1,1,17,0
49,58.42,month-to-month,credit-card,0,1,0,15,0
45,60.72,month-to-month,transfer,0,1,0,19,0
44,78.29,two-year,debit,1,1,1,27,0
26,53.3,month-to-month,debit,0,1,1,16,0
69,76.77,one-year,paypal,0,0,1,16,0
7,63.24,month-to-month,transfer,0,1,0,21,0
25,45.61,one-year,debit,1,1,1,16,0
9,45.86,month-to-month,paypal,0,1,1,23,0
25,93.94,two-year,transfer,1,0,2,23,0
69,61.87,one-year,credit-card,1,0,0,14,0
27,97.81,month-to-month,debit,0,1,1,17,0
65,54.73,one-year,credit-card,1,0,1,19,0
36,70.82,one-year,transfer,0,0,1,21,0
50,112.85,month-to-month,paypal,0,1,0,24,0
33,43.85,month-to-month,credit-card,1,1,0,20,0
19,27.04,one-year,paypal,0,0,0,14,0
55,90.73,one-year,paypal,1,1,0,16,0
69,48.46,month-to-month,paypal,1,0,1,20,0
19,64.59,two-year,transfer,0,1,0,16,0
56,53.28,month-to-month,debit,1,1,2,27,0
19,70.36,month-to-month,credit-card,1,1,4,18,0
51,45.99,month-to-month,paypal,0,0,0,11,0
57,61.4,month-to-month,debit,1,1,1,28,0
32,74.0,month-to-month,debit,1,1,2,27,0
53,44.83,month-to-month,transfer,0,1,2,18,0
20,51.0,month-to-month,transfer,0,1,2,17,0
6,58.05,month-to-month,paypal,1,0,1,21,0
7,36.42,one-year,paypal,0,0,0,17,0
32,56.55,month-to-month,paypal,0,1,4,29,0
65,67.38,one-year,credit-card,1,1,0,12,0
10,57.01,month-to-month,credit-card,1,1,2,23,1
33,59.57,month-to-month,credit-card,1,0,3,19,0
50,64.6,month-to-month,transfer,0,0,2,27,0
15,51.89,one-year,transfer,0,0,4,12,0
52,78.82,month-to-month,paypal,0,0,2,14,1
22,93.72,month-to-month,paypal,0,1,0,23,0
58,55.71,one-year,paypal,1,0,1,20,0
42,74.7,one-year,credit-card,0,1,0,23,0
39,60.21,one-year,transfer,1,0,1,16,0
13,72.31,month-to-month,paypal,1,1,2,19,1
33,96.32,month-to-month,paypal,1,1,1,20,0
61,75.17,month-to-month,debit,1,0,2,14,0
2,29.53,one-year,paypal,1,0,3,11,0
54,74.08,month-to-month,debit,1,1,0,16,0
35,89.66,month-to-month,credit-card,1,0,1,18,0
52,60.57,month-to-month,debit,1,0,1,19,0
48,84.91,month-to-month,debit,0,1,1,13,0
31,51.2,one-year,paypal,0,1,2,19,0
22,35.29,month-to-month,credit-card,1,1,1,17,0
45,67.82,month-to-month,credit-card,0,0,2,12,0
10,29.87,month-to-month,transfer,1,0,0,20,0
42,60.2,month-to-month,transfer,0,1,2,19,0
7,90.74,month-to-month,transfer,1,1,1,22,0
47,26.8,month-to-month,credit-card,0,0,1,19,0
45,39.41,one-year,debit,1,1,4,18,0
6,44.36,one-year,paypal,0,1,3,12,0
54,63.73,two-year,credit-card,0,1,0,26,0
30,57.69,two-year,paypal,1,1,1,17,0
56,92.98,month-to-month,credit-card,0,1,1,22,1
3,84.09,month-to-month,credit-card,0,1,3,15,0
13,74.91,month-to-month,paypal,1,0,1,15,1
36,67.91,one-year,debit,1,1,0,20,0
14,72.86,month-to-month,transfer,0,1,1,20,0
24,47.76,month-to-month,debit,1,1,0,26,0
47,82.14,month-to-month,transfer,0,1,3,18,0
11,42.76,month-to-month,debit,0,0,2,12,0
49,81.71,one-year,debit,1,1,2,18,0
8,88.72,one-year,paypal,0,1,0,17,0
13,69.22,month-to-month,transfer,1,1,4,13,0
42,61.48,two-year,transfer,0,1,0,24,0
57,73.01,month-to-month,paypal,1,0,1,16,0
13,10.0,month-to-month,debit,1,1,0,19,0
22,71.05,month-to-month,paypal,0,1,1,15,0
66,62.73,one-year,transfer,1,1,0,25,0
71,63.99,month-to-month,paypal,1,0,1,17,0
42,79.13,month-to-month,debit,0,1,1,21,0
32,63.5,two-year,transfer,1,0,1,7,0
25,42.2,month-to-month,credit-card,0,1,1,20,0
44,62.17,month-to-month,credit-card,0,0,1,18,0
42,66.35,one-year,credit-card,0,1,0,14,0
21,67.3,two-year,transfer,0,0,1,20,0
2,68.24,one-year,debit,1,0,3,16,0
11,85.79,two-year,debit,1,1,0,18,0
69,43.28,month-to-month,transfer,1,1,0,21,0
30,68.51,one-year,debit,0,1,3,21,0
35,90.8,one-year,credit-card,0,1,1,18,0
34,30.31,month-to-month,transfer,0,1,0,20,0
56,68.59,month-to-month,transfer,0,1,0,23,0
5,53.29,two-year,credit-card,1,0,2,15,0
6,57.59,month-to-month,debit,1,0,1,17,0
20,46.9,month-to-month,credit-card,1,1,0,17,0
35,61.61,two-year,transfer,1,1,0,13,1
48,101.83,two-year,credit-card,0,0,0,10,0
35,39.71,two-year,credit-card,0,1,1,32,0
32,41.61,two-year,debit,0,1,3,13,0
67,38.96,month-to-month,debit,1,1,1,12,0
12,99.55,two-year,paypal,0,0,0,15,0
41,55.75,month-to-month,credit-card,0,1,1,16,0
39,64.49,one-year,paypal,1,1,2,25,0
34,56.94,month-to-month,debit,0,1,1,14,0
58,46.11,one-year,debit,1,1,2,17,0
19,60.3,month-to-month,credit-card,0,0,1,13,1
68,114.16,one-year,debit,1,1,1,11,1
24,92.84,month-to-month,debit,0,1,1,21,0
39,47.94,month-to-month,transfer,1,1,1,17,0
37,77.95,month-to-month,paypal,1,1,2,17,0
61,48.37,month-to-month,transfer,0,1,0,19,0
32,29.47,one-year,credit-card,1,0,3,22,0
21,85.39,month-to-month,debit,1,0,3,23,0
2,88.2,month-to-month,transfer,1,1,0,25,0
26,85.92,month-to-month,transfer,1,1,4,18,0
59,55.6,month-to-month,transfer,1,1,4,18,0
1,61.66,one-year,transfer,0,1,0,18,0
64,80.0,month-to-month,transfer,0,1,2,16,0
39,72.83,month-to-month,paypal,0,1,2,27,0
10,57.13,month-to-month,transfer,1,1,4,18,0
22,32.62,month-to-month,transfer,1,1,0,11,0
40,67.28,one-year,debit,1,0,2,15,0
23,86.58,month-to-month,debit,0,1,1,18,0
8,41.05,month-to-month,transfer,1,1,0,10,0
48,77.78,one-year,paypal,1,1,2,17,0
48,71.63,month-to-month,paypal,0,1,0,24,0
9,80.0,month-to-month,transfer,1,0,2,16,1
20,82.44,month-to-month,paypal,0,1,2,20,0
18,51.11,two-year,credit-card,1,0,2,21,0
47,32.66,month-to-month,debit,1,0,0,16,0
52,54.33,month-to-month,credit-card,1,1,0,19,0
52,82.78,two-year,transfer,0,1,5,22,0
67,54.16,one-year,paypal,0,1,0,13,0
55,51.12,one-year,credit-card,1,1,2,18,0
23,28.57,two-year,credit-card,1,0,1,17,0
8,100.05,month-to-month,debit,0,1,1,21,0
44,81.51,one-year,paypal,0,0,2,18,0
66,80.4,one-year,credit-card,1,1,1,15,0
70,84.35,month-to-month,paypal,1,1,1,20,0
17,76.53,month-to-month,credit-card,0,1,2,22,0
17,60.11,month-to-month,debit,0,1,0,24,0
3,61.72,two-year,transfer,1,1,3,22,0
11,56.45,month-to-month,transfer,1,1,1,20,0
40,117.69,month-to-month,paypal,1,1,0,19,0
39,76.12,one-year,credit-card,1,1,1,14,0
27,55.72,one-year,credit-card,0,1,2,12,0
23,74.31,month-to-month,debit,1,0,2,12,0
59,44.78,one-year,transfer,0,1,2,18,0
33,95.09,month-to-month,debit,1,1,1,19,0
58,51.78,one-year,transfer,0,0,0,15,0
69,75.02,month-to-month,debit,0,1,2,21,1
23,86.32,month-to-month,paypal,0,0,1,27,0
15,72.7,one-year,credit-card,0,1,3,26,0
68,66.89,month-to-month,transfer,0,1,0,16,0
46,65.22,month-to-month,transfer,1,1,2,15,0
21,63.87,month-to-month,credit-card,1,1,1,14,0
45,53.47,one-year,transfer,1,1,0,33,0
37,56.01,two-year,credit-card,1,1,2,18,0
65,94.59,one-year,transfer,0,1,4,17,0
19,62.83,two-year,transfer,1,1,1,24,0
71,49.28,two-year,credit-card,0,1,1,15,0
67,54.67,month-to-month,credit-card,0,1,0,16,0
13,87.01,month-to-month,debit,0,1,2,16,0
12,78.51,two-year,paypal,0,1,1,14,0
38,76.21,two-year,credit-card,1,0,0,15,1
4,59.85,two-year,paypal,0,1,0,24,0
22,76.47,one-year,transfer,0,1,3,13,0
31,52.13,month-to-month,paypal,1,1,1,15,0
69,59.81,two-year,paypal,0,1,0,19,0
71,84.4,two-year,debit,1,0,1,19,0
11,82.49,one-year,transfer,0,1,1,15,0
64,45.36,two-year,transfer,1,1,1,14,0
7,47.89,month-to-month,credit-card,1,0,2,19,1
54,67.17,two-year,transfer,0,1,0,17,0
61,99.52,month-to-month,debit,1,1,1,14,0
64,26.69,two-year,credit-card,0,1,0,23,0
16,70.57,month-to-month,paypal,0,0,1,20,0
64,37.48,month-to-month,debit,1,1,0,8,0
9,52.31,month-to-month,paypal,1,1,1,11,0
37,57.71,month-to-month,credit-card,0,1,1,20,0
34,56.59,month-to-month,transfer,0,0,1,17,1
23,54.32,two-year,debit,0,0,1,21,0
2,65.14,month-to-month,paypal,1,1,2,19,0
55,54.29,two-year,paypal,1,0,0,14,0
24,35.75,month-to-month,paypal,0,0,1,15,0
47,80.6,month-to-month,paypal,1,1,1,13,0
30,80.06,one-year,paypal,0,1,0,18,0
27,81.86,one-year,debit,1,1,0,19,0
63,34.19,month-to-month,paypal,1,0,3,19,0
7,70.98,one-year,transfer,1,1,1,21,0
53,78.52,one-year,debit,0,1,2,25,0
54,44.38,month-to-month,credit-card,0,1,0,15,0
27,65.18,two-year,transfer,0,0,0,15,0
19,62.67,one-year,debit,1,0,2,20,0
1,101.84,one-year,transfer,1,1,3,11,0
67,103.49,month-to-month,credit-card,0,0,0,28,1
68,31.71,month-to-month,transfer,0,1,1,18,0
18,114.88,month-to-month,transfer,0,0,0,18,0
3,46.7,one-year,transfer,1,0,0,18,0
9,84.61,one-year,transfer,1,1,1,16,0
5,84.41,month-to-month,paypal,0,1,2,19,0
60,45.09,one-year,paypal,1,1,5,18,0
64,74.87,month-to-month,debit,0,1,0,25,0
11,62.85,month-to-month,paypal,1,0,3,13,1
54,76.09,two-year,paypal,0,1,1,21,0
13,69.61,month-to-month,credit-card,0,0,1,16,0
27,88.93,month-to-month,debit,1,1,2,23,0
43,66.51,month-to-month,transfer,1,1,1,15,0
52,61.64,month-to-month,transfer,0,1,1,16,0
63,86.92,one-year,credit-card,1,0,0,19,0
4,76.61,two-year,debit,1,1,1,15,0
14,79.64,month-to-month,debit,0,1,2,17,0
20,51.71,month-to-month,transfer,1,1,1,15,0
23,44.09,month-to-month,transfer,1,0,3,20,0
71,53.65,month-to-month,credit-card,0,1,3,20,0
56,52.58,month-to-month,credit-card,1,1,1,28,0
23,80.72,month-to-month,debit,1,1,1,16,0
69,84.52,two-year,credit-card,0,1,1,22,0
36,61.9,month-to-month,paypal,1,1,0,24,0
36,93.62,month-to-month,debit,0,1,1,18,0
31,92.37,month-to-month,transfer,1,1,1,16,0
11,69.87,one-year,credit-card,1,0,0,13,0
67,48.56,month-to-month,debit,0,0,0,18,0
1,96.51,month-to-month,paypal,1,1,0,15,0
13,63.78,one-year,transfer,0,1,1,26,0
17,67.52,month-to-month,debit,1,1,2,16,0
20,58.21,two-year,transfer,1,0,0,19,0
10,47.2,month-to-month,transfer,0,1,1,30,0
2,35.63,one-year,credit-card,1,1,2,16,0
49,77.66,two-year,paypal,0,1,0,16,0
69,49.33,month-to-month,paypal,1,1,3,19,0
9,126.19,one-year,transfer,1,1,0,14,0
22,43.28,month-to-month,credit-card,1,0,2,18,0
36,39.85,one-year,debit,0,1,1,18,0
66,75.2,two-year,transfer,1,1,1,15,0
50,95.59,one-year,paypal,1,1,1,19,0
55,66.29,two-year,transfer,1,0,1,14,0
42,76.44,month-to-month,credit-card,1,1,2,17,0
30,28.13,month-to-month,transfer,1,0,1,19,0
15,51.45,month-to-month,credit-card,0,1,1,15,0
62,43.53,one-year,debit,0,1,0,12,0
58,27.1,two-year,transfer,1,1,1,13,0
2,67.34,one-year,transfer,0,1,0,15,0
51,20.14,month-to-month,debit,1,1,3,17,0
6,38.56,month-to-month,debit,1,1,2,14,0
53,54.26,one-year,paypal,1,1,0,20,0
59,48.37,two-year,transfer,1,1,1,15,0
10,72.93,month-to-month,credit-card,1,0,0,15,0
31,71.11,month-to-month,transfer,1,1,0,18,0
9,82.88,month-to-month,transfer,1,1,2,22,0
41,80.05,month-to-month,transfer,0,1,1,14,0
66,87.82,two-year,transfer,0,1,0,30,0
6,64.96,month-to-month,credit-card,0,1,0,27,0
29,71.07,month-to-month,paypal,1,0,0,23,0
70,75.23,month-to-month,paypal,0,1,1,22,0
22,67.83,month-to-month,credit-card,1,1,2,20,0
10,57.06,two-year,credit-card,1,1,3,21,0
35,58.35,month-to-month,credit-card,0,0,1,19,0
37,48.65,month-to-month,paypal,1,1,0,19,0
48,73.43,month-to-month,paypal,0,1,1,14,0
23,63.12,two-year,debit,1,0,1,12,0
68,51.74,two-year,transfer,1,1,2,22,0
37,51.76,month-to-month,credit-card,0,0,1,19,0
21,40.79,one-year,credit-card,0,1,0,21,1
69,84.58,month-to-month,credit-card,1,0,3,18,0
66,66.57,month-to-month,credit-card,0,0,1,18,0
36,47.74,month-to-month,paypal,1,1,0,11,0
2,81.17,one-year,paypal,1,0,3,15,0
43,53.79,two-year,credit-card,0,0,2,19,0
40,36.87,month-to-month,transfer,0,1,0,15,0
11,85.42,month-to-month,credit-card,0,0,1,16,1
46,54.26,month-to-month,transfer,1,0,0,9,0
60,56.82,month-to-month,paypal,1,1,1,12,0
8,65.82,month-to-month,paypal,0,1,3,11,0
52,87.85,month-to-month,paypal,1,1,0,17,0
10,65.4,two-year,credit-card,1,1,1,17,0
54,41.02,month-to-month,credit-card,1,1,2,20,0
30,75.88,two-year,credit-card,0,1,0,22,0
1,55.3,month-to-month,credit-card,0,1,0,14,0
69,102.76,month-to-month,transfer,0,1,1,23,0
12,64.98,month-to-month,transfer,1,1,1,21,0
43,20.3,two-year,paypal,1,1,0,18,0
13,72.15,month-to-month,credit-card,0,1,2,19,0
67,103.89,month-to-month,debit,0,1,0,19,0
53,96.52,one-year,transfer,1,0,0,21,0
58,101.62,one-year,transfer,0,1,2,16,0
31,44.6,one-year,debit,1,1,2,19,0
34,83.24,month-to-month,credit-card,0,1,0,19,0
46,50.56,month-to-month,debit,0,1,1,16,0
56,69.49,one-year,credit-card,1,0,0,13,0
61,39.54,one-year,transfer,0,0,4,23,0
2,52.11,one-year,paypal,1,1,2,22,0
48,51.48,month-to-month,credit-card,0,1,4,16,0
8,82.97,month-to-month,credit-card,0,1,2,17,0
21,81.01,two-year,transfer,1,0,2,20,1
59,70.54,one-year,credit-card,0,0,1,20,0
18,37.99,month-to-month,paypal,1,1,0,20,0
57,58.77,two-year,paypal,1,0,0,17,0
33,50.08,month-to-month,debit,1,1,1,19,0
17,82.39,month-to-month,debit,0,1,2,11,0
24,88.56,month-to-month,debit,0,1,2,21,0
38,86.13,one-year,debit,0,1,1,16,0
55,49.9,month-to-month,paypal,1,1,1,18,0
44,10.21,month-to-month,paypal,0,1,3,21,0
67,29.66,one-year,credit-card,0,1,1,13,0
62,93.43,month-to-month,credit-card,1,1,1,21,0
54,56.97,two-year,transfer,0,1,1,19,0
43,49.99,month-to-month,transfer,1,0,2,21,0
21,97.85,month-to-month,transfer,1,0,0,23,0
30,90.3,one-year,debit,1,1,2,29,0
9,65.49,one-year,debit,1,1,0,7,0
27,59.13,month-to-month,credit-card,0,1,3,17,0
66,62.36,one-year,debit,1,1,1,15,0
31,69.54,two-year,transfer,1,1,1,12,0
9,97.0,one-year,debit,0,1,1,18,0
47,73.45,one-year,debit,1,1,1,12,0
69,79.52,month-to-month,debit,1,0,0,14,0
62,88.39,month-to-month,paypal,1,1,1,18,0
20,41.61,month-to-month,transfer,1,0,0,22,0
33,80.1,month-to-month,paypal,0,0,2,22,0
38,59.11,one-year,credit-card,0,0,1,23,0
18,14.68,month-to-month,paypal,0,1,1,18,0
20,22.44,month-to-month,credit-card,0,1,1,17,0
17,44.64,month-to-month,debit,0,1,3,13,0
71,75.62,month-to-month,debit,0,1,1,10,0
53,67.28,month-to-month,credit-card,0,1,1,15,0
60,68.69,one-year,paypal,1,1,0,24,0
58,104.02,month-to-month,paypal,0,0,1,17,0
69,39.62,month-to-month,transfer,1,1,0,15,0
8,64.45,month-to-month,debit,1,1,2,15,0
63,71.09,one-year,paypal,1,1,1,15,0
5,50.27,month-to-month,transfer,0,0,2,22,0
34,65.57,month-to-month,debit,1,0,2,21,0
43,33.0,month-to-month,paypal,1,1,3,11,0
26,93.2,month-to-month,credit-card,1,1,1,19,0
11,51.37,two-year,debit,0,1,1,17,0
14,105.63,one-year,credit-card,0,1,1,19,0
59,64.35,two-year,credit-card,1,1,3,18,0
23,85.56,two-year,credit-card,0,1,1,21,0
23,63.93,month-to-month,transfer,1,1,1,24,0
66,64.39,month-to-month,paypal,1,0,2,14,0
11,53.32,month-to-month,transfer,1,1,0,22,0
65,67.38,month-to-month,debit,1,1,1,19,0
66,71.36,month-to-month,debit,1,1,1,20,0
43,49.31,month-to-month,credit-card,1,1,1,16,0
12,62.5,month-to-month,transfer,1,0,0,17,0
12,52.8,month-to-month,credit-card,0,1,0,18,0
21,110.99,one-year,paypal,1,1,3,22,0
41,63.21,one-year,debit,1,1,0,22,0
11,95.9,two-year,debit,1,1,0,16,0
33,61.09,month-to-month,credit-card,0,1,1,11,0
9,70.19,month-to-month,credit-card,0,1,0,25,0
39,38.57,two-year,credit-card,1,1,1,15,0
2,56.06,one-year,transfer,0,0,2,18,0
51,69.21,month-to-month,debit,1,1,1,26,0
4,96.72,month-to-month,paypal,1,0,1,13,0
14,69.44,month-to-month,transfer,0,1,1,16,0
13,92.67,two-year,paypal,0,1,2,24,0
60,77.81,one-year,paypal,1,1,0,22,0
4,97.55,month-to-month,credit-card,0,1,0,23,0
31,63.82,month-to-month,credit-card,1,1,0,16,0
42,112.8,month-to-month,paypal,1,1,2,14,0
37,55.29,month-to-month,debit,1,1,0,17,0
49,49.67,one-year,paypal,0,1,2,20,0
